SolarW,HouseW,BattW,GridW,BattCharge,SolarF,HouseF,BattF,GridF
6.42,1573.5,1580,1.21,97.01,60.12,60.12,60.13,60.12
6.34,1575.3,1580,0.96,97.01,60.12,60.12,60.13,60.12
6.39,1544.7,1550,1.08,97.01,60.12,60.12,60.13,60.12
6.21,1594.7,1580,1.19,   97,60.12,60.12,60.13,60.12
6.53,1561.5,1510,1.13,   97,60.12,60.12,60.13,60.12
6.56,1530.9,1520,1.21,   97,60.12,60.12,60.13,60.12
6.2,1572.6,1590,1.27,   97,60.12,60.12,60.13,60.12
6.4,1546.4,1520,1,   97,60.12,60.12,60.13,60.12
6.59,1541.3,1510,1.05,   97,60.12,60.12,60.13,60.12
6.56,1552.4,1560,1.06,   97,60.12,60.12,60.13,60.12
6.26,1554.3,1530,1.05,   97,60.12,60.12,60.13,60.12
6.26,1535.4,1530,1.05,   97,60.12,60.12,60.13,60.12
6.1,1567.9,1560,1.22,   97,60.12,60.12,60.13,60.12
6.68,1561.7,1570,1.13,   97,60.12,60.12,60.12,60.12
6.73,1516.3,1500,1.27,96.99,60.12,60.12,60.12,60.12
6.48,1552.5,1580,1.13,96.99,60.12,60.12,60.12,60.12
6.37,1565,1550,1.05,96.99,60.12,60.12,60.12,60.12
6.26,1516.2,1540,1.13,96.99,60.12,60.12,60.12,60.12
6.18,1552.3,1560,1.35,96.99,60.12,60.12,60.12,60.12
6.23,1572.4,1520,1.16,96.99,60.12,60.12,60.12,60.12
6.48,1529.5,1510,1.44,96.99,60.12,60.12,60.12,60.12
6.78,1544.4,1550,1.11,96.98,60.12,60.12,60.12,60.12
6.53,1554,1560,1,96.98,60.12,60.12,60.12,60.12
6.37,1551.5,1540,1.16,96.98,60.12,60.12,60.11,60.12
6.34,1518.3,1540,0.94,96.98,60.12,60.12, 60.1,60.12
6.39,1551.2,1520,1.27,96.98,60.12,60.12, 60.1,60.12
6.23,1546.7,1540,1.16,96.98,60.12,60.12, 60.1,60.12
6.26,1520.2,1520,1,96.98,60.12,60.12, 60.1,60.12
6.4,1510.1,1490,1,96.98,60.12,60.12, 60.1,60.12
6.79,1487.8,1520,1.11,96.98,60.12,60.12, 60.1,60.12
6.62,1544.7,1550,1.29,96.98,60.12,60.12, 60.1,60.12
6.09,1538.8,1520,1,96.98,60.12,60.12, 60.1,60.12
6.32,1540.3,1530,1.22,96.98,60.12,60.12, 60.1,60.12
6.56,1536.2,1550,1.03,96.97,60.12,60.12, 60.1,60.12
6.26,1580.9,1600,1.21,96.97,60.12,60.12, 60.1,60.12
6.47,1552.4,1520,1.38,96.97,60.12,60.12, 60.1,60.12
6.32,1505.9,1500,1.1,96.97,60.12,60.12, 60.1,60.12
6.61,1503,1480,1.11,96.97,60.12,60.12, 60.1,60.12
6.56,1527.4,1540,0.92,96.97,60.12,60.12, 60.1,60.12
6.15,1547.5,1530,1.25,96.97,60.12,60.12, 60.1,60.12
6.4,1529.5,1520,1,96.97,60.12,60.12,60.09,60.12
6.48,1557.1,1520,0.97,96.97,60.06,60.06,60.08,60.06
6.23,1542.9,1530,1.13,96.97,60.06,60.06,60.08,60.06
6.17,1544.5,1510,1.3,96.97,60.06,60.06,60.08,60.06
6.46,1502.2,1490,1,96.96,60.06,60.06,60.08,60.06
6.78,1547.2,1540,1.25,96.96,60.06,60.06,60.08,60.06
6.76,1609.5,1610,1.14,96.96,60.06,60.06,60.08,60.06
6.4,1660,1650,1.22,96.96,60.06,60.06,60.08,60.06
6.29,1610.1,1580,1.11,96.96,60.06,60.06,60.08,60.06
6.64,1607.5,1580,1.11,96.96,60.06,60.06,60.08,60.06
6.64,1592.2,1600,1.02,96.96,60.06,60.06,60.08,60.06
5.79,1509.8,1510,1.16,96.96,60.06,60.06,60.08,60.06
6.09,1516.4,1530,1.17,96.96,60.06,60.06,60.08,60.06
6.56,1550.9,1570,1.19,96.96,60.12,60.12,60.08,60.12
6.31,1554.5,1540,1.11,96.96,60.12,60.12,60.08,60.12
5.88,1528.5,1520,1.16,96.95,60.12,60.12,60.07,60.12
6.21,1543.6,1520,1.3,96.95,60.12,60.12,60.06,60.12
6.75,1554.8,1580,1.14,96.95,60.12,60.12,60.06,60.12
6.2,1559.5,1560,1.19,96.95,60.12,60.12,60.06,60.12
5.74,1531.2,1510,1.05,96.95,60.12,60.12,60.06,60.12
6.18,1514.9,1530,1.16,96.95,60.12,60.12,60.06,60.12
6.39,1528.6,1540,1.11,96.95,60.12,60.12,60.06,60.12
6.39,1579,1570,0.88,96.95,60.12,60.12,60.06,60.12
5.99,1640.2,1620,0.91,96.95,60.12,60.12,60.05,60.12
5.96,1581.8,1540,1.27,96.95,60.12,60.12,60.05,60.12
6.31,1532.7,1550,1,96.95,60.06,60.06,60.05,60.06
6.54,1515.2,1520,1.16,96.95,60.06,60.06,60.05,60.06
6.01,1539.2,1560,1.07,96.94,60.06,60.06,60.05,60.06
5.96,1607.2,1580,1.11,96.94,60.06,60.06,60.05,60.06
6.26,1613.6,1620,1.19,96.94,60.06,60.06,60.05,60.06
6.64,1634.2,1620,0.99,96.94,60.06,60.06,60.05,60.06
6.34,1617.4,1620,0.91,96.94,60.06,60.06,60.04,60.06
5.96,1623.5,1610,1.05,96.94,60.06,60.06,60.03,60.06
5.98,1634.3,1620,1.08,96.94,60.06,60.06,60.03,60.06
6.48,1644.6,1650,0.84,96.94,60.06,60.06,60.03,60.06
6.9,1644.3,1660,0.89,96.94,60.06,60.06,60.03,60.06
6.04,1626.6,1640,0.99,96.94,60.06,60.06,60.03,60.06
5.71,1611.8,1620,1.02,96.93,   60,   60,60.02,   60
6.45,1635.4,1650,1.02,96.93,   60,   60,60.01,   60
6.81,1634.4,1630,1.19,96.93,   60,   60,60.01,   60
6.1,1646.2,1640,0.91,96.93,   60,   60,60.01,   60
5.77,1613.4,1600,0.91,96.93,   60,   60,60.01,   60
6.48,1603.4,1620,1.14,96.93,   60,   60,60.01,   60
6.7,1597.5,1620,1.02,96.93,   60,   60,60.01,   60
6.29,1661,1640,0.8,96.93,   60,   60,60.01,   60
5.88,1669.5,1680,1.08,96.93,   60,   60,   60,   60
6.15,1664.6,1640,0.96,96.93,   60,   60,59.99,   60
6.7,1562.2,1560,0.86,96.93,   60,   60,59.99,   60
6.18,1558,1540,0.99,96.92,   60,   60,59.99,   60
5.76,1546.7,1550,1.08,96.92,   60,   60,59.99,   60
5.82,1563.5,1560,1.02,96.92,   60,   60,59.99,   60
6.46,1558.5,1510,0.7,96.92,   60,   60,59.99,   60
6.32,1555.2,1570,1.03,96.92,   60,   60,59.99,   60
6.04,1569,1560,1.22,96.92,   60,   60,59.99,   60
5.76,1560,1530,1.21,96.92,   60,   60,59.99,   60
6.07,1588.2,1570,1.02,96.92,   60,   60,59.99,   60
6.34,1577,1570,0.81,96.92,   60,   60,59.99,   60
6.34,1580.9,1560,1.1,96.92,   60,   60,59.99,   60
5.87,1594.2,1580,1.13,96.92,   60,   60,59.99,   60
5.6,1595.2,1580,1.02,96.92,   60,   60,59.99,   60
6.18,1581.5,1570,1.3,96.92,   60,   60,59.99,   60
6.42,1583.2,1590,1.19,96.92,   60,   60,59.99,   60
6.26,1597.3,1580,0.99,96.92,   60,   60,59.99,   60
5.55,1607.1,1590,0.91,96.92,   60,   60,59.99,   60
6.21,1599,1610,0.97,96.92,   60,   60,59.99,   60
6.4,1600.1,1590,1.21,96.92,   60,   60,59.99,   60
6.31,1630,1610,0.96,96.92,   60,   60,59.99,   60
5.71,1614.6,1650,1.07,96.92,   60,   60,59.99,   60
5.6,1631.3,1590,1.05,96.92,   60,   60,59.99,   60
6.48,1641.5,1650,1.08,96.91,   60,   60,59.99,   60
6.64,1646.6,1640,0.92,96.91,   60,   60,59.99,   60
5.88,1652.5,1610,0.92,96.91,   60,   60,59.99,   60
5.63,1593.7,1560,1.1,96.91,   60,   60,59.99,   60
6.4,1592,1590,1.19,96.91,   60,   60,59.99,   60
